book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally grabbed Boggs,grabbed,Aunt Sally grabbed Boggs and hugged Boggs tight ;,0.6782664060592651,0.9996112585067749,0.9996486902236938,108735.0,0.0,0.4019,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally grabbed Boggs and hugged,hugged,Aunt Sally grabbed Boggs and hugged Boggs tight ;,0.9996566772460938,0.9995607137680054,0.9996486902236938,108735.0,0.4019,0.4019,0.4019,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally could nt seem to hug and shake enough , and kept saying , Boggs do nt look as much like Boggs as Aunt Sally reckoned Boggs would",kept,"and Aunt Sally could nt seem to hug and shake enough , and kept saying , Boggs do nt look as much like Boggs as Aunt Sally reckoned Boggs would ;",-0.999230267945677,0.9997124671936035,-0.999142165586818,108768.0,0.5994,0.5994,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally could nt seem to hug and shake enough , and kept saying , Boggs do nt look as much like Boggs as Aunt Sally reckoned Boggs would",saying,"and Aunt Sally could nt seem to hug and shake enough , and kept saying , Boggs do nt look as much like Boggs as Aunt Sally reckoned Boggs would ;",-0.999230267945677,0.9869123697280884,-0.999142165586818,108768.0,0.5994,0.5994,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally could nt seem to hug and shake enough , and kept saying , Boggs do nt look as much like Boggs as Aunt Sally reckoned Boggs would",reckoned,"and Aunt Sally could nt seem to hug and shake enough , and kept saying , Boggs do nt look as much like Boggs as Aunt Sally reckoned Boggs would ;",-0.999230267945677,-0.9995340233726893,-0.999142165586818,108768.0,0.5994,0.5994,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sallym so glad to see Boggs,see,"but law sakes , Aunt Sally do nt care for that , Aunt Sallym so glad to see Boggs !",0.9997313022613525,0.9997556209564209,0.978140115737915,108801.0,0.5949,0.8977,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally could eat Boggs up,eat,"Dear , dear , it does seem like Aunt Sally could eat Boggs up !",0.9995867013931274,0.9997084140777588,0.9841086864471436,108822.0,0.0,0.7901,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally started for the house , leading Boggs",leading,"So then Aunt Sally started for the house , leading Boggs by the hand , and the children tagging after .",0.947868824005127,0.9997780323028564,-0.38500863313674927,108912.0,0.0,0.4939,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Boggs got there Aunt Sally set,set,"When Boggs got there Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs ;",0.9989224672317505,0.9997456073760986,0.966225266456604,108932.0,0.0,0.2716,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands",holding,"When Boggs got there Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs ;",0.599021315574646,0.9996424913406372,0.966225266456604,108932.0,-0.204,0.2716,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs",says,"When Boggs got there Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs ;",0.9751654863357544,0.9950994253158569,0.966225266456604,108932.0,0.2716,0.2716,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs",have,"When Boggs got there Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs ;",0.9751654863357544,0.999774694442749,0.966225266456604,108932.0,0.2716,0.2716,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs",look,"When Boggs got there Aunt Sally set Boggs down in a split - bottomed chair , and set Aunt Sally down on a little low stool in front of Boggs , holding both of Boggs hands , and says : Now Aunt Sally can have a _ good _ look at Boggs ;",0.9751654863357544,0.9997045993804932,0.966225266456604,108932.0,0.2716,0.2716,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally made the cold chills streak all down Boggs back,made,"Pretty soon Aunt Sally made the cold chills streak all down Boggs back , because Aunt Sally says : But here Boggsre a - running on this way , and Boggs haint told Aunt Sally a word about Boggs , nor any of them .",0.972841739654541,0.9997553825378418,-0.9141748324036598,109685.0,0.0,0.2732,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally made the cold chills streak all down Boggs back , because Aunt Sally says : But here Boggsre a - running on this way , and Boggs haint told Aunt Sally a word about Boggs , nor any of them",says,"Pretty soon Aunt Sally made the cold chills streak all down Boggs back , because Aunt Sally says : But here Boggsre a - running on this way , and Boggs haint told Aunt Sally a word about Boggs , nor any of them .",-0.9264495149254799,0.9950994253158569,-0.9141748324036598,109685.0,0.0,0.2732,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally grabbed Boggs and hustled,hustled,"but Aunt Sally grabbed Boggs and hustled Boggs in behind the bed , and says : Here he comes !",0.5552879571914673,-0.04450726509094238,0.31523263454437256,109888.0,0.0,0.0,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,"Aunt Sally says , what in the warld can have become of Boggs",says,"Aunt Sally says , what in the warld can have become of Boggs ?",-0.9869649540632963,0.9950994253158569,-0.9930748050101101,110060.0,0.0,0.0,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally do believe its Boggs,believe,"Why , Aunt Sally do believe its Boggs .",0.9995273351669312,0.999802827835083,0.9992821216583252,112049.0,0.0,0.0,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally says : Who s Boggs,says,and Aunt Sally says : Who s Boggs ?,-0.03276032209396362,0.9950994253158569,-0.6289694309234619,112969.0,0.0,0.0,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
huckleberry_finn,Aunt Sally,Boggs,Aunt Sally took and dusted Boggs,took,"So Aunt Sally took and dusted Boggs both with the hickry , and Boggs was as much as two hours catching another fifteen or sixteen , drat that meddlesome cub , and Boggs warnt the likeliest , nuther , because the first haul was the pick of the flock .",0.7771433591842651,0.18744385242462158,-0.6543113589286804,131280.0,0.0,0.0,0.0,"{'Boggs', 'Aunt Sally'}",Adventures of Huckleberry Finn
